"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
84;"9.7";"49.8";"48.4";"54.0";"13.6";"46.4";"65.5";"229.0";"3909.0";"2020-10-16 14:48:14"
85;"16.4";"49.8";"48.4";"59.0";"15.0";"49.2";"65.5";"229.0";"3914.0";"2020-10-16 14:48:19"
86;"38.5";"49.9";"48.4";"111.6";"17.2";"47.0";"65.6";"228.4";"3909.0";"2020-10-16 14:48:24"
87;"64.5";"50.3";"48.4";"1019.4";"21.0";"55.0";"66.1";"227.2";"3904.0";"2020-10-16 14:48:29"
88;"22.9";"50.4";"48.4";"42.0";"12.0";"49.4";"66.3";"227.0";"3914.0";"2020-10-16 14:48:34"
89;"36.3";"50.5";"48.4";"53.6";"15.0";"49.8";"66.2";"227.4";"3904.0";"2020-10-16 14:48:39"
90;"20.6";"50.3";"48.4";"46.4";"12.0";"50.0";"66.2";"227.2";"3909.0";"2020-10-16 14:48:45"
91;"21.6";"50.3";"48.4";"41.2";"14.8";"47.0";"66.2";"227.0";"3909.0";"2020-10-16 14:48:50"
92;"14.3";"50.2";"48.4";"41.4";"13.6";"49.6";"66.0";"225.0";"3909.0";"2020-10-16 14:48:55"
93;"38.7";"50.3";"48.4";"41.2";"13.0";"52.2";"66.3";"229.6";"3914.0";"2020-10-16 14:49:00"
94;"27.5";"50.2";"48.4";"70.2";"12.2";"51.0";"66.2";"229.4";"3904.0";"2020-10-16 14:49:05"
95;"12.2";"50.2";"48.4";"44.4";"15.4";"48.6";"66.1";"229.0";"3904.0";"2020-10-16 14:49:10"
96;"8.8";"50.2";"48.4";"43.6";"15.6";"48.8";"66.0";"229.0";"3904.0";"2020-10-16 14:49:15"
97;"10.2";"50.2";"48.4";"55.2";"17.0";"47.2";"66.0";"229.0";"3914.0";"2020-10-16 14:49:20"
98;"13.6";"50.2";"48.4";"39.4";"14.6";"46.6";"65.9";"227.4";"3919.0";"2020-10-16 14:49:26"
99;"13.2";"50.1";"48.4";"40.6";"16.0";"47.0";"65.9";"227.0";"3914.0";"2020-10-16 14:49:31"
100;"9.9";"50.1";"48.4";"49.4";"14.2";"45.8";"65.9";"226.6";"3919.0";"2020-10-16 14:49:36"
101;"11.1";"50.1";"48.4";"36.4";"15.4";"47.0";"65.9";"226.0";"3919.0";"2020-10-16 14:49:41"
102;"13.2";"50.1";"48.4";"43.4";"16.6";"47.6";"65.9";"226.0";"3924.0";"2020-10-16 14:49:46"
103;"11.9";"50.1";"48.4";"43.4";"14.8";"45.0";"65.8";"225.0";"3904.0";"2020-10-16 14:49:51"
104;"16.0";"50.1";"48.4";"50.2";"16.6";"46.6";"65.8";"223.8";"3914.0";"2020-10-16 14:49:56"
105;"23.3";"50.1";"48.4";"40.8";"14.8";"48.6";"65.9";"227.8";"3914.0";"2020-10-16 14:50:01"
106;"10.2";"50.1";"48.4";"37.4";"15.0";"45.2";"65.8";"228.0";"3904.0";"2020-10-16 14:50:07"
